word	freq
house	7.983793410904365
mine	9.24412643826028
mainly	9.926691509489688
Uh	6.844298797710854
get	6.518501092336561
kind	7.001268763307395
bored	11.915619043628691
watching	9.362574588673473
T	8.575206553035658
V	9.187263576365735
actually	8.073688415020914
watch	8.634129626032504
news	8.375775168675244
goes	8.87476633479423
slow	9.789220518861084
``	5.232354376685963
We	7.241353427310422
no	6.803631255272148
independent	9.701444907978699
evidence	9.575293622651799
linking	12.401126859410391
Fatah	13.381956112422118
any	6.975076126352803
acts	11.0148324982905
terrorism	11.647355057034012
since	7.831583851065452
Dec.	10.049751602246914
15	8.504217491792295
1988	8.537769025963527
he	5.585761029721603
referring	11.148363890915023
specific	9.875398215102136
PLO	12.534658252034914
group	7.919537735193655
Arafat	12.401126859410391
heads	10.510276487538107
