item	sent	token_id	word	depth	ind	brn
10	445	41	<cunkER>	11	7.643560886383057	11.804641764611006
10	445	42	of	11	1.0207347869873047	5.242156904190779
10	445	43	childhood	12	9.660658836364746	13.909249678254128
10	445	44	.	2	0.012354748323559761	0.5836299229413271
10	446	0	For	3	2.5949015617370605	6.327297866344452
10	446	1	the	5	0.7491845488548279	6.194536551833153
10	446	2	majority	5	7.555257320404053	13.000609323382378
10	446	3	of	5	0.0064373984932899475	3.787146819755435
10	446	4	people	7	7.041298866271973	12.380122197791934
10	446	5	diagnosed	7	11.322940826416016	17.17857171408832
10	446	6	with	8	5.4934892654418945	11.42550433985889
10	446	7	the	9	1.5603516101837158	7.5173380095511675
10	446	8	disorder	9	10.884725570678711	16.841711970046163
10	446	9	,	2	0.006502896081656218	0.5777780706994236
10	446	10	<cunkory>	3	13.779260635375977	14.48034456372261
10	446	11	's	3	3.5710673332214355	4.2721512615680695
10	446	12	is	3	2.418158769607544	3.1193568110466003
10	446	13	not	3	1.3186709880828857	2.019869029521942
10	446	14	a	5	1.164578914642334	3.677464544773102
10	446	15	chronic	5	10.8855562210083	13.398441851139069
10	446	16	condition	5	7.321467399597168	9.834353029727936
10	446	17	with	5	2.803313732147217	5.05431205034256
10	446	18	symptoms	7	10.88392448425293	14.031429190188646
10	446	19	lasting	7	13.970983505249023	18.478403706103563
10	446	20	a	8	3.018831729888916	9.967471737414598
10	446	21	lifetime	8	8.506214141845703	15.454854149371386
10	446	22	.	2	0.003749603871256113	0.5750247784890234
10	447	0	Rather	3	6.191219329833984	10.251612603664398
10	447	1	it	3	2.466094970703125	4.378620088100433
10	447	2	is	3	1.7966694831848145	2.4498923495411873
10	447	3	a	5	1.3399786949157715	3.8143145218491554
10	447	4	condition	5	8.038646697998047	10.51298252493143
10	447	5	whose	6	6.964478969573975	11.08596820384264
10	447	6	severity	6	10.647366523742676	14.768855758011341
10	447	7	peaks	7	16.351884841918945	20.293916281312704
10	447	8	in	8	2.303849935531616	7.742181833833456
10	447	9	the	9	1.2053393125534058	6.688866563141346
10	447	10	early	9	5.329753875732422	10.813281126320362
10	447	11	teens	9	9.13206672668457	14.61559397727251
10	447	12	,	7	0.07166478037834167	4.0136962197721004
10	447	13	with	8	2.072765350341797	7.311777886003256
10	447	14	improvement	10	10.479898452758789	16.45677573606372
10	447	15	occurring	11	8.485925674438477	21.050550054758787
10	447	16	in	12	1.3651866912841797	14.446438979357481
10	447	17	the	13	1.0586345195770264	14.165634859353304
10	447	18	late	13	6.306005954742432	19.41300629451871
10	447	19	teens	13	9.818746566772461	22.92574690654874
10	447	20	and	10	0.23760931193828583	8.660736080259085
10	447	21	continuing	11	8.368202209472656	16.846937276422977
10	447	22	into	12	4.241606712341309	13.597894169390202
10	447	23	<unk>	13	5.114841461181641	14.504755787551403
10	447	24	.	2	0.007971024140715599	0.5792461987584829
10	448	0	However	3	3.110776662826538	7.171169936656952
10	448	1	,	2	0.0035890231374651194	0.5748641977552325
10	448	2	approximately	5	4.383309364318848	10.898008674383163
10	448	3	ten	5	6.776922225952148	13.291621536016464
10	448	4	percent	4	4.734122276306152	6.911073058843613
10	448	5	of	4	0.010606583207845688	0.8337793573737144
10	448	6	those	6	3.722702980041504	5.7873598233563825
10	448	7	affected	6	6.58933162689209	9.030143250594847
10	448	8	have	3	2.4321327209472656	3.1161533519625664
10	448	9	a	4	1.5905249118804932	4.398264281451702
10	448	10	progressive	5	13.031394004821777	18.067330472171307
10	448	11	or	5	3.4731500148773193	8.509086482226849
10	448	12	<unkly>	5	5.259052276611328	10.294988743960857
10	448	13	course	4	9.200681686401367	12.008421055972576
10	448	14	that	6	1.4994020462036133	13.46189271658659
10	448	15	lasts	7	7.04798698425293	15.59246189519763
10	448	16	into	8	2.6481237411499023	12.63688762113452
10	448	17	<unk>	9	5.3827409744262695	15.403002545237541
10	448	18	.	2	0.013528570532798767	0.5848037451505661
10	449	0	It	3	2.7056021690368652	3.9996747374534607
10	449	1	is	3	2.015331983566284	2.713246211409569
10	449	2	not	3	1.8815195560455322	2.579433783888817
10	449	3	uncommon	4	5.304227352142334	7.269598111510277
10	449	4	for	5	1.1934022903442383	6.081050738692284
10	449	5	symptoms	6	12.25965690612793	17.2395096719265
10	449	6	to	5	0.06965840607881546	6.956769369542599
10	449	7	be	6	3.051441192626953	9.95396126434207
10	449	8	present	7	6.187864303588867	14.401860129088163
10	449	9	for	8	2.077369213104248	11.777810703963041
10	449	10	an	10	3.870823860168457	14.890119399875402
10	449	11	extended	10	8.640081405639648	19.659376945346594
10	449	12	period	10	5.358822822570801	16.378118362277746
10	449	13	of	10	0.18034544587135315	10.224245455116034
10	449	14	time	11	4.003850936889648	14.098744235932827
10	449	15	before	7	3.1340205669403076	14.512731682509184
10	449	16	a	10	2.9201323986053467	16.931850664317608
10	449	17	formal	10	7.46626091003418	21.47797917574644
10	449	18	diagnosis	10	11.882831573486328	25.89454983919859
10	449	19	of	10	1.1109552383422852	12.878185652196407
10	449	20	<cunkory>	11	14.700600624084473	26.508211955428123
10	449	21	's	11	2.9970240592956543	14.804635390639305
10	449	22	is	9	1.9084254503250122	13.346119370311499
10	449	23	obtained	10	7.4587249755859375	19.69132312759757
10	449	24	.	2	0.02514350600540638	0.5964186806231737
10	450	0	The	4	1.2790546417236328	4.501856982707977
10	450	1	reasons	4	7.35205078125	10.574853122234344
10	450	2	for	4	1.426788568496704	3.2439237236976624
10	450	3	this	5	3.7713589668273926	5.744389906525612
10	450	4	are	4	1.7391905784606934	6.4432559460401535
10	450	5	many	5	7.541796684265137	13.697891160845757
10	450	6	and	3	0.5434167385101318	1.3503959625959396
10	450	7	may	4	4.280961036682129	5.178312890231609
10	450	8	include	5	6.196888446807861	7.346214942634106
10	450	9	the	7	1.4348671436309814	3.131988413631916
10	450	10	fact	7	7.507742881774902	9.204864151775837
10	450	11	that	7	0.7644143104553223	3.6656398847699165
10	450	12	for	9	2.4735612869262695	9.876903150230646
10	450	13	families	11	9.446540832519531	18.41626165062189
10	450	14	and	11	1.017534613609314	9.987255431711674
10	450	15	physicians	11	9.24899959564209	18.21872041374445
10	450	16	unfamiliar	12	9.30520248413086	30.68771956115961
10	450	17	with	13	0.2609274685382843	21.970247514545918
10	450	18	<cunkory>	14	15.854196548461914	37.622827649116516
10	450	19	's	14	4.441535949707031	26.210167050361633
10	450	20	,	8	0.03195282444357872	2.9519439339637756
10	450	21	mild	11	9.87202262878418	22.82658275589347
10	450	22	and	10	0.4672236442565918	9.41713747009635
10	450	23	even	11	4.659173965454102	13.64370558038354
10	450	24	moderate	11	9.928987503051758	18.913519117981195
10	450	25	<unk>	9	6.2932538986206055	9.331100311130285
10	450	26	symptoms	9	9.401126861572266	12.438973274081945
10	450	27	may	9	3.6885933876037598	6.691232766956091
10	450	28	be	10	0.8798278570175171	4.010232415050268
10	450	29	considered	11	5.026128768920898	8.697545852512121
10	450	30	<unkER>	13	6.292614936828613	19.403836097568274
10	450	31	,	12	2.2847800254821777	12.994389858096838
10	450	32	part	14	6.073386192321777	20.150924887508154
10	450	33	of	14	0.0027805021964013577	13.124669189099222
10	450	34	a	15	2.5136830806732178	15.67475748155266
10	450	35	developmental	15	12.140800476074219	25.30187487695366
10	450	36	phase	15	7.550629615783691	20.711704016663134
10	450	37	,	12	0.6785950660705566	11.388204898685217
10	450	38	or	12	1.6293935775756836	12.339003410190344
10	450	39	the	14	1.5748978853225708	14.554558899253607
10	450	40	result	14	6.639054298400879	19.618715312331915
10	450	41	of	14	0.01450411882251501	12.22274733427912
10	450	42	another	15	6.445384502410889	18.805837938562036
10	450	43	condition	15	6.863279342651367	19.223732778802514
10	450	44	.	2	0.005657612346112728	0.5769327869638801
10	451	0	For	3	2.5949015617370605	6.327297866344452
10	451	1	example	4	1.705600380897522	5.460093542933464
10	451	2	,	2	0.0030481803696602583	0.5743233549874276
10	451	3	parents	3	8.7163724899292	9.450145870447159
10	451	4	may	3	4.524185657501221	5.212122350931168
10	451	5	think	4	5.689011573791504	6.524172052741051
10	451	6	that	6	0.02179865725338459	6.25003513880074
10	451	7	eye	8	10.601288795471191	16.97733527980745
10	451	8	blinking	8	20.788585662841797	27.164632147178054
10	451	9	is	8	1.188361406326294	7.506613804027438
10	451	10	related	9	6.466869354248047	14.12306304089725
10	451	11	to	10	0.005287235137075186	7.74753002403304
10	451	12	vision	11	10.905731201171875	18.739341435953975
10	451	13	problems	11	5.036366939544678	12.869977174326777
10	451	14	or	5	2.004561185836792	3.465586706995964
10	451	15	that	6	0.023029137402772903	1.4889357909560204
10	451	16	sniffing	8	19.717750549316406	21.281527059152722
10	451	17	is	8	1.008382797241211	2.5399530734866858
10	451	18	related	9	6.4341936111450195	9.245965799316764
10	451	19	to	10	0.005269092041999102	2.9266954087652266
10	451	20	seasonal	11	8.437235832214355	11.442935636267066
10	451	21	allergies	11	11.390589714050293	14.396289518103004
10	451	22	.	2	0.002974255010485649	0.574249429628253
10	452	0	There	3	4.253363609313965	5.54743617773056
10	452	1	are	3	1.6584224700927734	2.267111472785473
10	452	2	many	5	3.2737433910369873	4.253827504813671
10	452	3	patients	5	6.87138557434082	7.851469688117504
10	452	4	who	6	0.4099695682525635	1.9464098885655403
10	452	5	are	7	1.6267980337142944	3.1519282907247543
10	452	6	<unkal>	8	8.039072036743164	11.139965161681175
10	452	7	after	9	6.082832336425781	13.741835698485374
10	452	8	they	12	4.9720964431762695	14.632656099274755
10	452	9	,	11	2.683028221130371	10.397150160744786
10	452	10	their	12	3.9446582794189453	12.710610272362828
10	452	11	parents	12	4.725275993347168	13.491227986291051
10	452	12	,	11	0.42408061027526855	8.138202549889684
10	452	13	other	12	3.339508056640625	11.739937545731664
10	452	14	relatives	12	8.093473434448242	16.49390292353928
10	452	15	,	11	0.5222171545028687	8.236339094117284
10	452	16	or	11	2.218067169189453	9.932189108803868
10	452	17	friends	12	8.53059196472168	16.286712078377604
10	452	18	read	11	7.673263072967529	15.393822332844138
10	452	19	or	11	1.8709274530410767	9.591486712917686
10	452	20	hear	11	6.288519859313965	14.009079119190574
10	452	21	about	12	1.865694522857666	11.977617403492332
10	452	22	<cunkory>	13	15.752009391784668	26.017038306221366
10	452	23	's	13	3.994093894958496	14.259122809395194
10	452	24	from	12	3.261110782623291	13.816641231998801
10	452	25	others	13	6.014765739440918	16.741710176691413
10	452	26	.	2	0.019586723297834396	0.5908618979156017
10	453	0	<cunkest>	3	11.679183006286621	12.973255574703217
10	453	1	are	3	4.62615966796875	5.378844574093819
10	453	2	classified	4	8.73989486694336	11.043747261166573
10	453	3	as	5	2.8974251747131348	5.448500499129295
10	453	4	either	6	8.557290077209473	11.287390395998955
10	453	5	simple	7	8.900324821472168	12.715838834643364
10	453	6	or	6	0.6638970375061035	3.3939973562955856
10	453	7	complex	7	9.106561660766602	11.914217166602612
10	453	8	.	2	0.020986169576644897	0.5922613441944122
10	454	0	<cunkory>	3	11.581114768981934	12.875187337398529
10	454	1	motor	3	10.520545959472656	11.814618527889252
10	454	2	<cunkER>	3	8.096248626708984	9.39032119512558
10	454	3	are	3	5.115007400512695	5.825240179896355
10	454	4	sudden	7	10.158700942993164	21.510616943240166
10	454	5	,	6	1.2483772039413452	8.511745497584343
10	454	6	brief	7	8.964204788208008	16.741781815886497
10	454	7	,	6	0.38936638832092285	7.652734681963921
10	454	8	repetitive	7	10.577836990356445	18.438014790415764
10	454	9	movements	5	9.438495635986328	11.638402625918388
10	454	10	that	6	0.12616240978240967	4.602859750390053
10	454	11	involve	7	6.912811279296875	11.272435795515776
10	454	12	a	9	1.728776454925537	6.817922752350569
10	454	13	limited	9	7.664946556091309	12.75409285351634
10	454	14	number	9	5.402868270874023	10.492014568299055
10	454	15	of	9	0.025094330310821533	4.554162316024303
10	454	16	muscle	10	9.170702934265137	13.707711550407112
10	454	17	groups	10	6.031573295593262	10.568581911735237
10	454	18	.	2	0.0073456913232803345	0.5786208659410477
10	455	0	Some	4	4.738824844360352	7.961627185344696
10	455	1	of	4	0.026449643075466156	1.3581370897591114
10	455	2	the	5	0.8202409744262695	2.152871875092387
10	455	3	more	6	3.8927664756774902	8.632730035111308
10	455	4	common	6	5.34467887878418	10.084642438217998
10	455	5	simple	5	9.59887409210205	10.931504992768168
10	455	6	<cunkER>	5	10.675956726074219	12.008587626740336
10	455	7	include	3	5.375840663909912	6.100913897156715
10	455	8	eye	5	9.799230575561523	10.834649868309498
10	455	9	blinking	5	19.4573974609375	20.492816753685474
10	455	10	,	4	0.8327289819717407	1.6430134400725365
10	455	11	facial	5	9.487112045288086	10.606792442500591
10	455	12	<unkly>	5	9.492555618286133	10.612236015498638
10	455	13	,	4	0.7976782321929932	1.607962690293789
10	455	14	shoulder	5	8.493783950805664	9.603001855313778
10	455	15	<unkly>	5	8.227863311767578	9.337081216275692
10	455	16	,	4	0.7329480648040771	1.543232522904873
10	455	17	and	4	0.05975707620382309	0.8700415343046188
